MimotopeSetID,FileName
121,1994Dec01-1010043OOaadfAAAL-AACW
122,1994Dec01-1010043OOaadgAAAL-AACW
123,1994Dec01-1010043OOaadhAAAL-AACW
124,1994Dec01-1010043OOaadiAAAL-AACW
125,1994Dec01-1010044OOaadjAAAL-AACW
126,2005Sep30-1010045OOaadkAAAL-AACX
127,2005Sep30-1010045OOaadkAAAL-AACX
128,2005Sep30-1010046OOaadkAAAL-AACX
129,2014SepXX-1010045OOaadlAAAL-AACY
130,2014SepXX-1010045OOaadmAAAL-AACY
131,2014SepXX-1010045OOaadnAAAL-AACY
132,2014SepXX-1010045OOaadoAAAL-AACY
133,2014SepXX-1010046OOaadlAAAL-AACY
134,2014SepXX-1010046OOaadmAAAL-AACY
135,2014SepXX-1010046OOaadnAAAL-AACY
136,2014SepXX-1010046OOaadoAAAL-AACY
137,2014SepXX-1010046OOaadpAAAL-AACY
138,2003Jun15-1010001OOaadqAAAL-AACZ
139,1996Jul19-1010025OOaadrAAAL-AADA
140,1999Feb15-1010002OOaadsAAAL-AADB
141,1999Feb15-1010001OOaadsAAAL-AADB
142,1999Feb15-1010005OOaadsAAAL-AADB
143,1999Feb15-1010002OOaadtAAAL-AADB
144,1999Feb15-1010001OOaadtAAAL-AADB
145,1999Feb15-1010005OOaadtAAAL-AADB
146,1997Nov24-1010001OOaaduAAAX-AADC
147,2006XXXX-1010016OOaadvAAAL-AADD
148,1994Sep30-1010002OOaadwAAAL-AADE
149,1997Nov24-1010005OOaadxAAAY-AADF
150,1997Nov24-1010005OOaadxAAAZ-AADF
151,1997Nov24-1010005OOaadxAABA-AADF
152,1997Nov24-1010005OOaadxAABB-AADF
153,1997Nov24-1010005OOaadxAABC-AADF
154,2008MayXX-1010002OOaadyAAAL-AADG
155,2005Apr15-1010001OOaadzAAAL-AADH
156,2006Mar01-1010047OOaaeaAAAL-AADI
157,2006Mar01-1010001OOaaebAAAL-AADJ
158,2006Mar01-1010001OOaaecAAAL-AADJ
159,2014SepXX-1010048OOaaedAAAL-AADK
160,2014SepXX-1010048OOaaeeAAAL-AADK
161,2014SepXX-1010048OOaaefAAAL-AADK
162,2004Apr23-1010049OOaaegAAAL-AADL
163,2005Jul15-1010002OOaaehAAAL-AADM
164,2004Aug20-1010001OOaaeiAAAL-AADN
165,2001SepXX-1010002OOaaejAAAL-AADO
166,2006XXXX-1010002OOaaekAABD-AADP
167,2006XXXX-1010002OOaaekAABE-AADP
168,1995Dec01-1010050OOaaelAAAL-AADQ
170,1995Dec01-1010050OOaaenAAAL-AADQ
171,1995Dec01-1010050OOaaenAAAL-AADQ
172,1995Dec01-1010050OOaaeoAAAL-AADQ
173,1995Dec01-1010050OOaaeoAAAL-AADQ
174,1994AugXX-1010051OOaaepAAAL-AADR
175,1994AugXX-1010052OOaaepAAAL-AADR
176,1994AugXX-1010053OOaaepAAAL-AADR
177,2003Apr04-1010017OOaaeqAAAL-AADS
178,2003Apr04-1010017OOaaerAAAL-AADS
179,2003Apr04-1010017OOaaesAAAL-AADS
180,2003Apr04-1010017OOaaetAAAL-AADS
181,2003Apr04-1010017OOaaetAAAL-AADS
182,2003Apr04-1010017OOaaetAAAL-AADS
183,2006Mar01-1010054OOaaeuAAAL-AADT
184,2003Sep05-1010055OOaaevAAAL-AADU
185,2003Nov14-1010056OOaaewAAAL-AADV
186,2003Nov14-1010057OOaaexAAAL-AADV
187,2003Nov14-1010057OOaaeyAAAL-AADV
188,2005SepXX-1010005OOaaezAAAL-AADW
189,2004AprXX-1010032OOaafaAAAL-AADX
190,2004AprXX-1010033OOaafaAAAL-AADX
191,2004AprXX-1010032OOaafbAAAL-AADX
192,2004AprXX-1010033OOaafbAAAL-AADX
193,2004AprXX-1010032OOaafcAAAL-AADX
194,2004AprXX-1010033OOaafcAAAL-AADX
195,2004AprXX-1010032OOaafdAAAL-AADX
196,2004AprXX-1010033OOaafdAAAL-AADX
197,2004Jul09-1010055OOaafeAAAL-AADY
198,2005SepXX-1010001OOaaffAAAL-AADZ
199,2005Oct07-1010002OOaafgAAAL-AAEA
200,2005Oct07-1010002OOaafhAAAL-AAEA
201,2004Oct15-1010009OOaafiAAAL-AAEB
202,2005Apr15-1010038OOaafjAAAL-AAEC
203,2006JulXX-1010058OOaafkAAAL-AAED
204,2016FebXX-1010002OOaaflAAAL-AAEE
205,2016FebXX-1010005OOaaflAAAL-AAEE
206,2005Jan17-1010005OOaafmAAAL-AAEF
207,2005Jan17-1010005OOaafnAAAL-AAEF
208,2005Aug12-1010001OOaafoAAAL-AAEG
209,2005Aug31-1010001OOaafpAAAL-AAEH
210,2005Aug31-1010001OOaafpAAAL-AAEH
211,2005Aug31-1010001OOaafpAAAL-AAEH
212,2005Aug31-1010001OOaafpAABF-AAEH
213,2005Aug31-1010001OOaafqAABG-AAEH
214,2005Aug31-1010001OOaafqAABG-AAEH
215,2005Aug31-1010001OOaafqAABH-AAEH
216,2005Aug31-1010001OOaafrAABG-AAEH
217,2006JulXX-1010059OOaafsAAAL-AAEI
218,2006JulXX-1010059OOaafsAAAL-AAEI
219,2006JulXX-1010059OOaafsAAAL-AAEI
220,2006Jun15-1010060OOaaftAAAL-AAEJ
221,2006Jun15-1010060OOaafuAAAL-AAEJ
222,2006Jun15-1010060OOaafvAAAL-AAEJ
223,2006Jun15-1010060OOaafwAAAL-AAEJ
224,2006Jun15-1010060OOaafxAAAL-AAEJ
225,2006Jun15-1010060OOaafyAAAL-AAEJ
226,2006Jun15-1010060OOaafzAAAL-AAEJ
227,2006Jun15-1010060OOaagaAAAL-AAEJ
228,2006Jun15-1010060OOaagbAAAL-AAEJ
229,2006Jun15-1010060OOaagcAAAL-AAEJ
230,2006Jun15-1010060OOaagdAAAL-AAEJ
231,2006Jun15-1010060OOaageAAAL-AAEJ
232,2006Jun15-1010060OOaagfAAAL-AAEJ
233,2006Jun15-1010060OOaaggAAAL-AAEJ
234,2006Jun15-1010060OOaaghAAAL-AAEJ
235,2006Jun15-1010060OOaagiAAAL-AAEJ
236,2006Jun15-1010060OOaagjAAAL-AAEJ
237,2006Jun15-1010060OOaagkAAAL-AAEJ
238,2006Jun15-1010060OOaaglAAAL-AAEJ
239,2008MayXX-1010061OOaagmAAAL-AAEK
240,2007MayXX-1010001OOaagnAAAL-AAEL
241,2006AugXX-1010062OOaagoAABI-AAEM
242,2006AugXX-1010001OOaaagAAAL-AAEN
243,2006JunXX-1010001OOaagpAAAL-AAEO
244,2006JunXX-1010001OOaagpAAAL-AAEO
245,2006Sep04-1010002OOaagqAAAL-AAEP
246,2006Sep04-1010001OOaagqAAAL-AAEP
247,1998Dec11-1010063OOaagrAAAL-AAEQ
248,2006JulXX-1010005OOaagsAABJ-AAER
249,2006JulXX-1010001OOaagsAABJ-AAER
250,2006JulXX-1010005OOaagsAABK-AAER
251,2006JulXX-1010001OOaagsAABK-AAER
252,2006JulXX-1010005OOaagsAABL-AAER
253,2006JulXX-1010001OOaagsAABL-AAER
254,2006JunXX-1010005OOaagtAABM-AAES
255,2006Mar24-1010001OOaaguAABN-AAET
256,2005DecXX-1010016OOaagvAAAL-AAEU
257,2005DecXX-1010016OOaagvAAAL-AAEU
258,2005DecXX-1010064OOaagwAAAL-AAEU
259,2005DecXX-1010016OOaagwAAAL-AAEU
260,2005DecXX-1010064OOaagwAAAL-AAEU
261,2006XXXX-1010017OOaagxAAAL-AAEV
262,2006Sep05-1010001OOaagyAAAL-AAEW
263,2006Sep05-1010005OOaagyAAAL-AAEW
264,2006Sep05-1010001OOaagzAAAL-AAEW
265,2006Sep05-1010002OOaagzAAAL-AAEW
266,2006Sep05-1010005OOaagzAAAL-AAEW
267,2007MayXX-1010001OOaahaAAAL-AAEX
268,2004AugXX-1010065OOaahbAAAL-AAEY
269,1997Nov24-1010034OOaahcAABO-AAEZ
270,2016FebXX-1010066OOaahdAAAL-AAFA
271,2005DecXX-1010067OOaaheAAAL-AAFB
272,2006AugXX-1010001OOaahfAAAL-AAFC
273,2006Apr14-1010001OOaahgAABP-AAFD
274,2006AugXX-1010001OOaahhAAAL-AAFE
275,2006Oct15-1010001OOaahiAAAL-AAFF
276,2006Mar17-1010001OOaabzAAAL-AAFG
277,2006Mar17-1010005OOaabzAAAL-AAFG
278,2006Mar17-1010001OOaabzAAAL-AAFG
279,2006Mar17-1010005OOaabzAAAL-AAFG
280,2006Mar17-1010001OOaabzAAAL-AAFG
281,2006Mar17-1010005OOaabzAAAL-AAFG
282,2006Mar17-1010001OOaabzAAAL-AAFG
283,2006Mar17-1010005OOaabzAAAL-AAFG
284,2006Feb24-1010068OOaahjAAAL-AAFH
285,2005MayXX-1010001OOaahkAAAL-AAFI
286,2005MayXX-1010005OOaahkAAAL-AAFI
287,2005DecXX-1010017OOaahlAAAL-AAFJ
288,1997Nov24-1010002OOaahmAABQ-AAFK
